Percentile,RelativeRisk
0,0.230235276
1,0.302017829
2,0.33995888
3,0.36877769
4,0.392436689
5,0.413803713
6,0.433036007
7,0.451394817
8,0.468669302
9,0.484793216
10,0.499781547
11,0.514328242
12,0.528636498
13,0.542496422
14,0.556041768
15,0.569250018
16,0.582608056
17,0.595420251
18,0.608236213
19,0.620491158
20,0.632822534
21,0.645006991
22,0.656703677
23,0.668351691
24,0.680367153
25,0.692539937
26,0.704500032
27,0.716253579
28,0.728154121
29,0.739958918
30,0.751670831
31,0.763748888
32,0.775752722
33,0.787577708
34,0.799570794
35,0.811520924
36,0.823471205
37,0.835291572
38,0.847253378
39,0.859790061
40,0.872213449
41,0.884274949
42,0.897226402
43,0.910155812
44,0.922908166
45,0.936074855
46,0.949172231
47,0.962200376
48,0.975395718
49,0.989045068
50,1.00356791
51,1.017646036
52,1.031647787
53,1.045780983
54,1.06055389
55,1.075606591
56,1.090241059
57,1.105409154
58,1.121021238
59,1.137020486
60,1.153068695
61,1.169696008
62,1.187293951
63,1.205605435
64,1.223799555
65,1.241541471
66,1.260722411
67,1.28000429
68,1.29978228
69,1.321085398
70,1.342926431
71,1.365001121
72,1.38832499
73,1.411652366
74,1.436177936
75,1.461383922
76,1.488339464
77,1.516757878
78,1.544455428
79,1.574856597
80,1.606878229
81,1.641904433
82,1.677791013
83,1.715613709
84,1.756142152
85,1.800071605
86,1.847819497
87,1.899939463
88,1.954865944
89,2.014813486
90,2.080872893
91,2.154845843
92,2.240418491
93,2.339128635
94,2.454922382
95,2.595413471
96,2.775947785
97,3.029290929
98,3.425153034
99,4.606300403
